numpy,random,dividing,amount_words
9.441375732421875e-05,9.703636169433594e-05,1.0277777777777777,20
5.030632019042969e-05,9.059906005859375e-05,1.8009478672985781,50
9.751319885253906e-05,0.00020575523376464844,2.1100244498777507,100
0.00012087821960449219,0.0002052783966064453,1.698224852071006,200
7.605552673339844e-05,0.00047516822814941406,6.247648902821316,500
8.726119995117188e-05,0.0007948875427246094,9.109289617486338,1000
0.00018835067749023438,0.0030546188354492188,16.217721518987343,2000
0.00039076805114746094,0.00456690788269043,11.687004270896889,5000
0.0008962154388427734,0.008814096450805664,9.834796488427774,10000
0.001481771469116211,0.017202377319335938,11.609332260659695,20000
0.005529642105102539,0.05165696144104004,9.341827275471047,50000
0.00970768928527832,0.10327553749084473,10.638529361200481,100000
0.031084299087524414,0.23505544662475586,7.561870575331539,200000
0.07831263542175293,0.5458254814147949,6.969826497030143,500000
0.2639791965484619,1.0707159042358398,4.056061683024614,1000000
0.6063427925109863,2.159888982772827,3.5621582534663214,2000000
2.0862746238708496,7.01404070854187,3.361993012946733,5000000
4.772627353668213,13.228012800216675,2.771641659818612,10000000
11.772632122039795,28.19454264640808,2.3949225928519824,20000000
